04230529584IGOR PERESSIOLE FRANZANI BASJ 008
13971070446ROSEANE CONTE ACHANDIZ BENIET 060
33195910466CELINO DI BENEDITTO PAPASSONI 054
48370105128LUZIA BARDELLA FERNANDEZ RUFO 071
77952488519ASTA OPALA MARTINEZ CABALLERO 080
50544775126GEANE DEMACIO MAGE MORA MUNOZ 088
83327864438LUZINETE PAKHAMOVITCH IDONATO 077
16804307983IGOR CANVIA RIVAS DI BICEGLIE 054
76608866877RUTH LAMPE CASALES Y BARCEIRA 044
00045948113LUIZ DALLA TORRE RUDATIS KAUD 030
69512648295JANDIRA ANTONIUCCI ZAPPATERRA 096
67889263375RUTH XAVIER MERCEDES MONTENER 033
68869854201MAURO CALLETO GHERARDINI SANO 067
24295678388JANE DEMACIO SALLES MONTEZANI 002
30185758225SANTOS AGIRRAZABA CALVOS ALBO 085
98145112512CELINO FREIRE PEDI MARCHERINI 067
85828888342MAGNA FRANCA TOLIN VANDESTHIM 057
02465792201ODILON LAUKAS MARTINEZ ACOSTA 031
87390198555VICENCIA CIORNICIAN S. MARTIN 056
12177169309LUIZ FACCASI MENEGHELI BIRGOC 050
82683710158ANCELMO BUTARELLO MACCIARELLI 092
17021171734SANTO BRESCIGLIERI TAKASHIGUE 068
11300968994RUTH CARRETERO GUTIERREZ KUNZ 003
06094440228SANTO PARRILHA ARROJO HERRERO 030
48166589786REGINALDO RODRIGUES RODRIGUES 077
18557643456ARQUIMEDES BALSALOBRE CANOVAS 064
04951642393JULIANE BALLESTERO Y GUTIEREZ 006
64409452783ODILIA ERWART ENCINAS ARANEGA 091
91291951408SILVIA TELLINI MONSO PATERNEZ 039
57027856259ODILIO COMMODO MOMPEAR ROMERA 062
73049505264JOAO DUARTE GIMENEZ CARBONERA 015
42677620167JOAO SALVADO VICCARI MELNIKOW 094
16242009148ISABELA ORTENZI TROYANO LOPEZ 068
93319012505ZACARIAS CIORNICIAN S. MARTIN 060
55610113441RUTH CANDIOTTI DI MARCANTONIO 090
59020732375SILVANA BALLESTERO Y GUTIEREZ 098
38508128342VICENTE VALDERRAMA JANANDILOI 024
53417365649VALTER JUNKER MARFIL MORILLAS 029
71173209052CELINO PENA ARROYO DREIVINIAK 060
56928513176RUTH GONSALES SOBRINO CHIANIS 036
06049863464LORRANE SANTOS DOMINGUES KOCH 076
48972234798LUZIA NORBIATO LAZARO ALVAREZ 007
49144979170CLARICE RUIZ LOPEZ RAZUMONICY 059
80908998808JULIANE BALLESTERO Y GUTIEREZ 055
14195221318NAIARA VELLONI LOZANO FIDALGO 056
27094230280JACKELINE GARCIA MARQUEZ KUNZ 019
94160161583ROMULO CANVIA RIVAS MIZOGOSHI 042
63573230985JOAO SANCHEZ GUERRERO TONILLI 002
24717369607LUZINETE AVELLANEDA RODRIGUEZ 009
66253010912VICENTE SCHIBUOLA MARKEVICIUS 002
69064158596RAMIRO PERSATO ROPINO MACHADO 029
15191664362HEBERT FERNANDEZ MORAL LUPION 085
33403132303MARTHA BERBEL GONZALEZ SEISER 015
56372161851ROSELIA CRISTOFORI VERGUERLER 049
51947023849RAMON MARTINES DIAS BANANASAS 052
72695661965HERMES BARTELINE RODRIGUES II 088
36478731004IGOR CANDIOTTI BOURG SORTILLO 028
88826494103AGNALDO BALLESTERO Y GUTIEREZ 003
37822951014RUTH DE GOBBI SEBELLO BALDONI 090
80366842068HEBERT ORLANDO MONTERO CHAVES 009
99346636896NARA DE GIULIO CORTIJO SUAREZ 036
03823149052MAGNO FAGIOLI REGALADO GARCIA 015
65113283985JACIRA FINDER FRASCINO PASSOS 075
29971689982ODILIA LOBODOVSKAYA GONNELLAS 099
58555763349NAIARA VELLIOTTI NUEVO CURIEL 077
63895105771GEANE FERNANDEZ GONZALEZ JAIK 058
52705792960ISABELE DE ROSA NIBRALE SIOLE 032
68804239252JOAO AMICI VALVERDE FERNANDEZ 036
32108746535EVERALDO AVELLANEDA RODRIGUEZ 002
56398513907KAIO GUERRERO GIMENEZ TEPRONI 098
00695687829REGINO MAESTRE PLANELLES KLAT 060
22037377261ISABELA VALDERRAMA JANANDILOI 037
70077467403RAMON ARDUZO POLIDORO ALTHMAN 044
16752287308RAMIRO BACH OLIVEIRA SOBRINHO 048
39414468370MAGNOLIA CASALE GARCIA GALERA 046
30365949164ANCELMO VALDERRAMA JANANDILOI 090
13637601312MAGNO TUNKELISTSTEIN CONZOGNI 026
73124466441LUZINETE EHRHARDL DIAS ROSELL 047
09955332390ISABELI VALDERRAMA JANANDILOI 057
54289595224ROMULO COSATA ARNO BORTOLUZZI 069
73095749327CELINO PARSINKAS OUTSUKA QUAM 023
91165543707SILVAN GONSALVES MULA GUILLEN 001
89236390146JOAO VENTRELLA GARCIA SANCHES 079
13022714803AVELINA BALLESTERO Y GUTIEREZ 083
15144947765PRISCILA CIORNICIAN S. MARTIN 098
33503344594SILVESTRE ROFRIGUES GONCALVEZ 079
77934092759MAGNO MEALE ZANCHANI BACCETTI 055
41435417256MARISE PACOETTA GARCIA GABIDO 033
19922477338RAMON URBANCIA SCHIAVONI KOCH 054
99248639371LUIZ JUSTO DIAZ MOYA MARTINEZ 019
85261967220JOAO ROSENHOLCS SANCHEZ RECHE 093
57832322165ISABELI MONTERO MUNOZ CANDOLI 010
22540628773JOAO MACIAS FRESCASTRO CALERO 011
